latitude,longitude,predicted_risk
-28.8489,-51.8325,0.99907994
-28.8489,-51.8325,0.99907994
-28.8489,-51.8325,0.99907994
-28.8489,-51.8325,0.99907994
-28.8489,-51.8325,0.99907994
-29.2161,-52.1622,0.92014885
-29.2161,-52.1622,0.92014885
-29.2161,-52.1622,0.92014885
-29.2161,-52.1622,0.92014885
-29.2161,-52.1622,0.92014885
-29.5886,-51.3822,0.9871062
-29.5886,-51.3822,0.9871062
-29.5886,-51.3822,0.9871062
-29.7589,-51.1506,0.99755305
-29.7589,-51.1506,0.99755305
-29.7589,-51.1506,0.99755305
47.90866852,-66.94805908,0.9991574
47.90866852,-66.94805908,0.9991574
47.90866852,-66.94805908,0.9991574
47.90866852,-66.94805908,0.9991574
46.73600006,-65.8256073,0.97015125
46.73600006,-65.8256073,0.97015125
46.73600006,-65.8256073,0.97015125
46.73600006,-65.8256073,0.97015125
46.73600006,-65.8256073,0.97015125
46.73600006,-65.8256073,0.97015125
48.89944077,-72.21166992,0.9980282
48.89944077,-72.21166992,0.9980282
48.89944077,-72.21166992,0.9980282
50.21139145,-66.66056061,0.9966709
50.21139145,-66.66056061,0.9966709
50.21139145,-66.66056061,0.9966709
50.68582916,-64.58083344,0.99687624
50.68582916,-64.58083344,0.99687624
49.2677803,-81.64167023,0.7439621
49.2677803,-81.64167023,0.7439621
49.2677803,-81.64167023,0.7439621
49.2677803,-81.64167023,0.7439621
49.2677803,-81.64167023,0.7439621
49.2677803,-81.64167023,0.7439621
49.2677803,-81.64167023,0.7439621
49.2677803,-81.64167023,0.7439621
49.6139183,-83.26667023,0.9984475
49.6139183,-83.26667023,0.9984475
49.6139183,-83.26667023,0.9984475
49.6139183,-83.26667023,0.9984475
49.6139183,-83.26667023,0.9984475
49.6139183,-83.26667023,0.9984475
49.6139183,-83.26667023,0.9984475
49.6139183,-83.26667023,0.9984475
51.07672119,-80.76407623,0.9467174
51.07672119,-80.76407623,0.9467174
51.07672119,-80.76407623,0.9467174
54.49805832,-98.04805756,0.99885225
54.49805832,-98.04805756,0.99885225
54.49805832,-98.04805756,0.99885225
54.49805832,-98.04805756,0.99885225
55.0819397,-122.913063,0.99652797
55.0819397,-122.913063,0.99652797
55.0819397,-122.913063,0.99652797
56.73443985,-131.6689911,0.9984006
56.73443985,-131.6689911,0.9984006
56.73443985,-131.6689911,0.9984006
56.73443985,-131.6689911,0.9984006
54.49362946,-128.3246613,0.99702954
54.49362946,-128.3246613,0.99702954
54.49362946,-128.3246613,0.99702954
54.04872131,-128.690506,0.9898984
54.04872131,-128.690506,0.9898984
54.04872131,-128.690506,0.9898984
54.04872131,-128.690506,0.9898984
49.79502106,-123.2031631,0.99720615
49.79502106,-123.2031631,0.99720615
49.79502106,-123.2031631,0.99720615
50.98952866,-124.9181137,0.99476
50.98952866,-124.9181137,0.99476
50.98952866,-124.9181137,0.99476
49.70230865,-126.111412,0.97748524
49.70230865,-126.111412,0.97748524
49.70230865,-126.111412,0.97748524
54.23117065,-121.6687469,0.9951132
54.23117065,-121.6687469,0.9951132
54.23117065,-121.6687469,0.9951132
54.23117065,-121.6687469,0.9951132
48.98471832,-119.617218,0.79431474
48.98471832,-119.617218,0.79431474
48.98471832,-119.617218,0.79431474
48.98471832,-119.617218,0.79431474
48.98471832,-119.617218,0.79431474
48.98471832,-119.617218,0.79431474
48.98471832,-119.617218,0.79431474
23.35,101.5,0.78107595
23.35,101.5,0.78107595
23.35,101.5,0.78107595
24.66666667,98.65,0.96147346
24.66666667,98.65,0.96147346
24.66666667,98.65,0.96147346
49.0734,9.1457,0.8557768
49.0734,9.1457,0.8557768
49.0734,9.1457,0.8557768
49.0734,9.1457,0.8557768
49.0734,9.1457,0.8557768
49.0734,9.1457,0.8557768
49.0734,9.1457,0.8557768
-1.0181,-79.4619,0.9927296
-1.0181,-79.4619,0.9927296
44.19,4.53,0.9571758
44.19,4.53,0.9571758
44.19,4.53,0.9571758
48.5,3.7,0.9927878
48.5,3.7,0.9927878
48.5,3.7,0.9927878
48.1,22.8167,0.9950218
48.1,22.8167,0.9950218
48.1,22.8167,0.9950218
